koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,1.0,5.15448142,3.228,697.5,48.1,2.94,964.0,0,0
FALSE POSITIVE,0.0,33.80364366,11.4813,13494.0,529.9,20.7,745.0,0,1
CONFIRMED,1.0,5.743469797,3.4412,1240.2,79.7,3.13,982.0,0,0
CANDIDATE,1.0,39.4759093,2.968,1012.6,26.6,4.06,577.0,0,0
FALSE POSITIVE,0.0,19.974485239,4.23479,40293.0,1398.8,26.56,700.0,0,1
CONFIRMED,1.0,3.166353562,3.3129,1473.4,128.3,3.82,1273.0,0,0
FALSE POSITIVE,0.0,23.899634407,3.81881,20953.0,547.8,44.04,652.0,0,1
CONFIRMED,1.0,3.388012244,2.6849,280.1,30.6,2.11,1315.0,0,0
CONFIRMED,1.0,5.83909761,3.1915,273.6,25.2,2.06,1097.0,0,0
CONFIRMED,1.0,1.620467654,2.1888,159.6,22.7,1.57,1681.0,0,0
CONFIRMED,1.0,10.6816951,3.605,307.8,21.9,2.3,897.0,0,0
CONFIRMED,1.0,6.104849417,4.6912,2090.3,293.7,3.18,784.0,0,0
CONFIRMED,0.999,3.578780566,2.91089,11382.0,1838.4,10.43,1145.0,0,0
FALSE POSITIVE,0.0,3.187067566,3.119,1037.4,37.2,23.88,1079.0,0,1
CONFIRMED,1.0,5.826657508,2.9183,1539.1,81.1,4.09,1013.0,0,0
CONFIRMED,0.998,12.41216347,3.739,611.3,25.6,2.58,787.0,0,0
CONFIRMED,1.0,18.74649011,3.895,796.8,26.7,3.05,686.0,0,0
CONFIRMED,1.0,20.86021229,5.1937,1910.5,117.0,5.5,781.0,0,0
CONFIRMED,1.0,42.63427848,6.1998,1719.3,78.7,5.22,615.0,0,0
CONFIRMED,0.973,87.6476068,8.871,1009.6,37.5,4.0,484.0,0,0
CANDIDATE,0.975,9.61731426,3.8692,234.0,18.2,1.94,1010.0,0,0
